XP_022313813.1	GO:0005975,GO:0016853,GO:0044281
XP_022315941.1	GO:0006464,GO:0008233,GO:0009056
XP_022315213.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022314809.1	GO:0006464,GO:0008233
XP_022314807.1	GO:0006464,GO:0008233
XP_022314808.1	GO:0006464,GO:0008233
XP_022314810.1	GO:0006464,GO:0008233
XP_022314813.1	GO:0006464,GO:0008233
XP_022314811.1	GO:0006464,GO:0008233
XP_022314812.1	GO:0006464,GO:0008233
XP_022314848.1	GO:0006464,GO:0008233
XP_022314846.1	GO:0006464,GO:0008233
XP_022314847.1	GO:0006464,GO:0008233
XP_022314849.1	GO:0006464,GO:0008233
XP_022314852.1	GO:0006464,GO:0008233
XP_022314850.1	GO:0006464,GO:0008233
XP_022314851.1	GO:0006464,GO:0008233
XP_022314191.1	GO:0006464,GO:0008233,GO:0009056
XP_022314190.1	GO:0006464,GO:0008233,GO:0009056
XP_022316307.1	GO:0006464,GO:0008233
XP_022317409.1	GO:0006464,GO:0008233,GO:0009056
XP_022319420.1	GO:0006397,GO:0006464,GO:0008233,GO:0022618,GO:0043167
XP_022317311.1	GO:0006464,GO:0008233,GO:0009056
XP_022313620.1	GO:0006464,GO:0008233
XP_022316271.1	GO:0006464,GO:0008233
XP_022316270.1	GO:0006464,GO:0008233
XP_022320674.1	GO:0006464,GO:0008233,GO:0009056
XP_022320673.1	GO:0006464,GO:0008233,GO:0009056
XP_022320672.1	GO:0006464,GO:0008233,GO:0009056
XP_022325150.1	GO:0006464,GO:0008233,GO:0009056
XP_022324465.1	GO:0006464,GO:0008233,GO:0009056
XP_022324464.1	GO:0006464,GO:0008233,GO:0009056
XP_022324466.1	GO:0006464,GO:0008233,GO:0009056
XP_022325953.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022325954.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022325955.1	GO:0006464,GO:0008233,GO:0009056
XP_022328361.1	GO:0005622,GO:0006464,GO:0008233,GO:0009056
XP_022322175.1	GO:0005622,GO:0006464,GO:0008233,GO:0009056
XP_022326144.1	GO:0006464,GO:0008233,GO:0009056
XP_022327210.1	GO:0006464,GO:0008233,GO:0009056
XP_022327211.1	GO:0006464,GO:0008233,GO:0009056
XP_022327287.1	GO:0006464,GO:0008233,GO:0009056
XP_022327288.1	GO:0006464,GO:0008233,GO:0009056
XP_022334869.1	GO:0006464,GO:0008233
XP_022328706.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022335018.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022331332.1	GO:0006464,GO:0008233
XP_022330433.1	GO:0006464,GO:0008233,GO:0009056
XP_022334777.1	GO:0006464,GO:0008233
XP_022345938.1	GO:0006464,GO:0008233,GO:0009056
XP_022335384.1	GO:0006464,GO:0008233,GO:0009056
XP_022341555.1	GO:0006464,GO:0008233,GO:0009056
XP_022339739.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022336724.1	GO:0006464,GO:0008233
XP_022345820.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022344375.1	GO:0006464,GO:0008233,GO:0065003
XP_022344376.1	GO:0006464,GO:0008233,GO:0065003
XP_022337677.1	GO:0006464,GO:0008233,GO:0009056
XP_022337678.1	GO:0006464,GO:0008233,GO:0009056
XP_022286615.1	GO:0005634,GO:0006259,GO:0006464,GO:0006950,GO:0008233,GO:0032991
XP_022288269.1	GO:0006464,GO:0008233,GO:0009056
XP_022288268.1	GO:0006464,GO:0008233,GO:0009056
XP_022292952.1	GO:0006464,GO:0008233,GO:0009056
XP_022290929.1	GO:0006464,GO:0008233,GO:0009056
XP_022291044.1	GO:0006464,GO:0008233,GO:0009056
XP_022291043.1	GO:0006464,GO:0008233,GO:0009056
XP_022291871.1	GO:0006464,GO:0008233,GO:0009056
XP_022294512.1	GO:0006464,GO:0008233,GO:0009056
XP_022294510.1	GO:0006464,GO:0008233,GO:0009056
XP_022294509.1	GO:0006464,GO:0008233,GO:0009056
XP_022294511.1	GO:0006464,GO:0008233,GO:0009056
XP_022294508.1	GO:0006464,GO:0008233,GO:0009056
XP_022294513.1	GO:0006464,GO:0008233,GO:0009056
XP_022294122.1	GO:0006464,GO:0008233,GO:0009056
XP_022294123.1	GO:0006464,GO:0008233,GO:0009056
XP_022293329.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022293330.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022294335.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022294336.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022299733.1	GO:0006464,GO:0008233,GO:0009056
XP_022299734.1	GO:0006464,GO:0008233,GO:0009056
XP_022298937.1	GO:0006464,GO:0008233,GO:0009056
XP_022298938.1	GO:0006464,GO:0008233,GO:0009056
XP_022301272.1	GO:0006464,GO:0008233
XP_022301679.1	GO:0006464,GO:0008233
XP_022298769.1	GO:0006464,GO:0006950,GO:0008233,GO:0009056
XP_022298768.1	GO:0006464,GO:0006950,GO:0008233,GO:0009056
XP_022300225.1	GO:0006464,GO:0008233,GO:0009056
XP_022300226.1	GO:0006464,GO:0008233,GO:0009056
XP_022302284.1	GO:0006464,GO:0008233,GO:0009056
XP_022299538.1	GO:0006464,GO:0008233,GO:0009056
XP_022296064.1	GO:0005623,GO:0006464,GO:0006810,GO:0008233,GO:0019899,GO:0022607,GO:0043167,GO:0048856
XP_022296304.1	GO:0000003,GO:0006464,GO:0007005,GO:0008233,GO:0043167
XP_022296305.1	GO:0000003,GO:0006464,GO:0007005,GO:0008233,GO:0043167
XP_022299592.1	GO:0005575,GO:0006464,GO:0006810,GO:0008233,GO:0019899,GO:0043167
XP_022302278.1	GO:0005622,GO:0006464,GO:0008233,GO:0009056
XP_022302279.1	GO:0005622,GO:0006464,GO:0008233,GO:0009056
XP_022302280.1	GO:0005622,GO:0006464,GO:0008233,GO:0009056
XP_022302281.1	GO:0005622,GO:0006464,GO:0008233,GO:0009056
XP_022296837.1	GO:0005622,GO:0006464,GO:0008233,GO:0009056
XP_022296838.1	GO:0005622,GO:0006464,GO:0008233,GO:0009056
XP_022296839.1	GO:0005622,GO:0006464,GO:0008233,GO:0009056
XP_022296840.1	GO:0005622,GO:0006464,GO:0008233,GO:0009056
XP_022306134.1	GO:0006464,GO:0008233,GO:0009056
XP_022306135.1	GO:0006464,GO:0008233,GO:0009056
XP_022306132.1	GO:0006464,GO:0008233,GO:0009056
XP_022306133.1	GO:0006464,GO:0008233,GO:0009056
XP_022306322.1	GO:0006464,GO:0008233,GO:0009056
XP_022317634.1	GO:0003723,GO:0005737,GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022317633.1	GO:0003723,GO:0005737,GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022290160.1	GO:0003723,GO:0005737,GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022290161.1	GO:0003723,GO:0005737,GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022340630.1	GO:0006520,GO:0009058,GO:0034641,GO:0043167,GO:0051186
XP_022340631.1	GO:0006520,GO:0009058,GO:0034641,GO:0043167,GO:0051186
XP_022317291.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022317290.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022317292.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022317295.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022317294.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022317293.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022317297.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022317296.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022329389.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022329388.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022329390.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022338995.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022338996.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022338997.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022339983.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022339982.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022345041.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022299267.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022299474.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022297589.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022300218.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022296955.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022301114.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022297432.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022297431.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022308968.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022308969.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022309279.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022309280.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022309281.1	GO:0005575,GO:0005975,GO:0006629,GO:0009058,GO:0016757
XP_022324431.1	GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022325682.1	GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022332328.1	GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022289669.1	GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022293809.1	GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022325987.1	GO:0006399,GO:0009058,GO:0016757,GO:0044281
XP_022325988.1	GO:0006399,GO:0009058,GO:0016757,GO:0044281
XP_022325326.1	GO:0006399,GO:0009058,GO:0016757,GO:0044281
XP_022303274.1	GO:0006399,GO:0008168
XP_022336561.1	GO:0005975,GO:0006091,GO:0006629,GO:0009056,GO:0009058,GO:0016853,GO:0044281
XP_022310316.1	GO:0005575,GO:0006464,GO:0007165,GO:0008233,GO:0016301,GO:0043167
XP_022310317.1	GO:0005575,GO:0006464,GO:0007165,GO:0008233,GO:0016301,GO:0043167
XP_022313864.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022328422.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022328421.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022328365.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022328364.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022328409.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022328410.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022328408.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022328411.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022323810.1	GO:0006464,GO:0007165,GO:0016301,GO:0030154,GO:0043167,GO:0048856
XP_022322561.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022322564.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022322563.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022322562.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022333935.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0030154,GO:0043167,GO:0048856
XP_022329785.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022332577.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338528.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338534.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338530.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338535.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338532.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338533.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338531.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338524.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338525.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338527.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338523.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338526.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022338522.1	GO:0005886,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022288756.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022288760.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022288759.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022288757.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022288755.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022288763.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022288762.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022288765.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022288764.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022288766.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022288761.1	GO:0005575,GO:0006464,GO:0007165,GO:0008283,GO:0016301,GO:0043167
XP_022293035.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022292761.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022292763.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022292762.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022292756.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022292759.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022292757.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022292758.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022292760.1	GO:0005575,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022317287.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022317283.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022317285.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022317288.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022317284.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022330752.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022330751.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022330750.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022330749.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022330753.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022335228.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022335223.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022335224.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022335226.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022335225.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022335227.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022335229.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298387.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298381.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298383.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298382.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298384.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298385.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298386.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298949.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298952.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298950.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022298951.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022341137.1	GO:0005737,GO:0005975,GO:0006091,GO:0006464,GO:0006520,GO:0009058,GO:0016301,GO:0032991,GO:0043167
XP_022341136.1	GO:0005737,GO:0005975,GO:0006091,GO:0006464,GO:0006520,GO:0009058,GO:0016301,GO:0032991,GO:0043167
XP_022343131.1	GO:0005737,GO:0005975,GO:0006091,GO:0006464,GO:0006520,GO:0009058,GO:0016301,GO:0032991,GO:0043167
XP_022343130.1	GO:0005737,GO:0005975,GO:0006091,GO:0006464,GO:0006520,GO:0009058,GO:0016301,GO:0032991,GO:0043167
XP_022293938.1	GO:0005856,GO:0006464,GO:0007165,GO:0016301,GO:0043167
XP_022323150.1	GO:0006464,GO:0016301,GO:0043167
XP_022323151.1	GO:0006464,GO:0016301,GO:0043167
XP_022294997.1	GO:0000278,GO:0005634,GO:0006464,GO:0016301,GO:0043167
XP_022318850.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022318847.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022318848.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022318849.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022318854.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022318851.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022318852.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022318853.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022315183.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022315181.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022315182.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022315180.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022315184.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022334890.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022335032.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022341056.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022343122.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022343123.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022340672.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022340673.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022340807.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022340806.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022300371.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022297911.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022297910.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022317440.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022317441.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022317442.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022314028.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022314029.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319383.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319389.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319386.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319394.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319400.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319380.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319391.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319384.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319381.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319395.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319387.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319397.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319382.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319393.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319399.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319385.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319392.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319388.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319398.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319396.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022319401.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022324874.1	GO:0005654,GO:0006464,GO:0006520,GO:0016301,GO:0032991,GO:0043167
XP_022324875.1	GO:0005654,GO:0006464,GO:0006520,GO:0016301,GO:0032991,GO:0043167
XP_022300195.1	GO:0005654,GO:0006464,GO:0006520,GO:0016301,GO:0032991,GO:0043167
XP_022298943.1	GO:0005654,GO:0006464,GO:0006520,GO:0016301,GO:0032991,GO:0043167
XP_022338831.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022338834.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022338833.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022338835.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022341516.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022325245.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022325236.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022288431.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022288439.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022325168.1	GO:0005575,GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022326624.1	GO:0005575,GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0043167
XP_022311324.1	GO:0006464,GO:0006520,GO:0016301,GO:0043167
XP_022311330.1	GO:0006457,GO:0006464,GO:0006520,GO:0016301,GO:0032991,GO:0043167,GO:0051082
XP_022330365.1	GO:0006464,GO:0006520,GO:0007165,GO:0016301,GO:0032991,GO:0043167
